Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Bricklinked,Archive,Selling,No Minifigures,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"853651-1","The LEGO Batman Movie","Miscellaneous",2017,"The LEGO Batman Movie Accessory Set",3,31,10.99,12.99,15.99,12.99,5702015931557,673419269797,,,,,"",1,1,0,,0,1,,,,,,,,,13.2000,6.0000,"",""
"3300001-1","Promotional","LEGO brand stores",2011,"Brickley",,197,,14.99,,,,673419164900,19.1,14.1,7.1,,"",1,1,0,,0,1,,,,,,,,,54.9900,23.4700,"15/04/2011","01/06/2012"
"5000022-1","Marvel Super Heroes","The Avengers",2012,"The Hulk",1,4,,,,,,673419175388,,,,,"",1,1,0,,0,1,,,,,,,,,24.7400,20.0000,"",""
"5002045-1","The LEGO Movie","Promotional",2014,"Pyjamas Emmet",1,4,,,,,,673419220972,,,,,"",1,1,0,,0,1,,,,,,,,,11.8300,8.0000,"",""
"5002125-1","Marvel Super Heroes","Promotional",2014,"Electro",1,5,,,,,,673419221863,,,,,"",1,1,0,,0,1,,,,,,,,,15.0000,12.7000,"",""
"5002127-1","Teenage Mutant Ninja Turtles","Promotional",2014,"Flashback Shredder",1,6,,,,,,673419217316,,,,,"",1,1,0,,0,1,,,,,,,,,7.3600,4.9500,"",""
"5002145-1","Marvel Super Heroes","Guardians of the Galaxy",2014,"Rocket Raccoon",1,13,4.99,4.99,,,,673419218139,,,,,"",1,1,0,,0,1,,,,,,,,,15.0600,10.5000,"",""
"5002203-1","The LEGO Movie","Promotional",2014,"Radio DJ Robot",1,4,,,,,,673419220989,,,,,"",1,1,0,,0,1,,,,,,,,,6.7200,6.0000,"",""
"5002204-1","The LEGO Movie","Promotional",2014,"Western Emmet",1,6,,,,,,673419217323,,,,,"",1,1,0,,0,1,,,,,,,,,8.9200,6.5000,"",""
"5002812-1","Space","Classic",2014,"Classic Spaceman Minifigure",2,19,,,,,,673419218757,,,,,"",1,1,0,,0,1,,,"Yes",,,,,,18.5800,12.0500,"",""
"5002943-1","Marvel Super Heroes","Captain America: The Winter Soldier",2015,"Winter Soldier",1,4,,,,,,673419240253,,,,,"",1,1,0,,0,1,,,,,,,,,17.0200,18.5000,"",""
"5002946-1","Marvel Super Heroes","Iron Man 3",2016,"Silver Centurion",1,12,,,,,,673419240277,,,,,"",1,1,0,,0,1,,,,,,,,,82.2900,33.5300,"",""
"5003082-1","Pirates","Classic",2015,"Classic Pirate Minifigure",1,24,,,,,,673419241892,15.5,10.5,3.5,,"",1,1,0,,0,1,,,,,,,,,20.6600,14.1400,"",""
"5003084-1","Marvel Super Heroes","Avengers: Age of Ultron",2015,"The Hulk",1,27,4.99,,,,,673419242158,,,,,"",1,1,0,,0,1,,,,,,,,,20.7000,17.9900,"",""
"5004419-1","Castle","",2016,"Classic Knights Minifigure",1,47,,,,,,673419258371,,,,,"",1,1,0,,0,1,,,,,,,,,25.6600,20.4900,"",""
"5004929-1","The LEGO Batman Movie","Promotional",2017,"Batman Cave Pod",1,24,3.99,,,4.99,,673419269292,,,,,"",1,1,0,,0,1,,,,,,,,,9.0900,7.0000,"",""
"5004939-1","The LEGO Batman Movie","Promotional",2017,"The LEGO Batman Movie Minifigure Collection",4,27,14.99,19.99,,,5702016117806,673419284394,,,,,"",1,1,0,,0,1,,,,,,,,,43.0900,32.9700,"",""
"5005256-1","Marvel Super Heroes","Promotional",2018,"Marvel Super Heroes Minifigure Collection",4,22,,,,,,673419294324,,,,,"",1,1,0,,0,1,,,,,,,,,86.0100,81.7100,"",""
"COMCON034-1","Marvel Super Heroes","Promotional",2014,"Rocket Raccoon's Warbird",1,145,,39.99,,,,,,,,,"",1,1,0,,0,1,"Yes",,,"Yes",,,,,461.8000,,"",""
"COMCON037-1","DC Comics Super Heroes","Promotional",2014,"Batman Classic TV Series Batmobile",2,152,,,,,,,,,,,"",1,1,0,,0,1,"Yes",,,,,,,,664.9900,66.2700,"",""
"DRWU-1","Jurassic World","Promotional",2015,"Dr. Wu",1,5,,,,,,,,,,,"",1,1,0,,0,1,,,,,,,,,8.9300,11.7000,"",""
"SDCC2015-3","DC Comics Super Heroes","Promotional",2015,"Action Comics #1 Superman",1,145,,,,,,,,,,,"",1,1,0,,0,1,"Yes",,,"Yes",,,,,,,"",""
"SDCC2015-1","Marvel Super Heroes","Promotional",2015,"Throne of Ultron",4,203,,39.99,,,,,,,,,"",1,1,0,,0,1,"Yes",,,"Yes",,,,,,,"",""






